A,B,C,D,E,F
6,-2.48,39,728.56,-40.6757,-46.792
21,87.44,4,63.17,9.52628,5.5
15,51.26,33,614.39,10.1976,31.3849
4,-14.92,29,538.02,70.133,54.7938
2,-26.52,39,728.43,49.7279,15.2033
1,-32.65,9,158.09,27.5026,84.644
38,189,26,481.4,-23.7944,-73.2313
10,21.47,7,120.21,-5.45599,-5.85083
13,39.05,4,63,-6.57785,-2.39414
26,117.04,36,671.14,62.8965,58.6518
31,147.36,18,328.97,-6.78439,-4.23935
8,9.47,10,177.51,23.4923,8.5505
12,33.13,7,120.08,-3.50698,-7.19035
23,99.42,20,367.56,86.6631,15.281
4,-14.77,33,614.37,15.343,31.4578
28,129.43,38,709.03,-63.4259,-68.0159
6,-2.56,5,82.45,52.7983,4.61925
34,165.14,18,328.98,-8.48529,-8.48528
13,39.21,16,291.5,-8.24178,-14.8685
18,69.45,35,652,-52.7691,-75.362
14,45.26,17,310.3,-71.6588,-13.929
7,3.5,15,272.49,-95.4883,-22.0452
23,99.13,6,100.98,46.3304,15.9528
24,104.99,30,556.97,30.8348,35.4713
28,129.35,2,25.2,58.3346,17.8347
34,165.33,23,424,-15.8628,-35.6283
11,27.37,4,63.15,45.4299,27.297
26,117.53,34,633.41,-68.6786,-59.7013
31,147.5,10,177.38,-69.0379,-29.3048
15,51.11,28,519.26,-28.8784,-64.8617
4,-14.88,37,690.04,63.8939,44.7389
38,188.98,23,424.52,-59.8793,-11.6393
33,159.35,24,442.97,41.4861,46.0749
36,177.42,19,348.23,20.3772,17.7136
36,177.31,10,177.41,2.728,2.92541
6,-3.03,7,120.12,12.2578,24.0572
38,189.35,39,728.38,-25.9541,-7.4422
29,135.15,9,158.3,-48.8567,-38.171
38,189.31,29,538.26,-26.5039,-5.15184
6,-3.02,2,25.45,16.8044,6.45062
0,-38.87,38,709.17,37.6813,73.9535
18,68.98,36,671.26,13.9233,1.4634
0,-38.6,39,728.38,73.803,47.9282
5,-8.56,24,443.43,9.40457,12.9443
14,45.19,31,576.53,21.0115,9.35494
35,171,25,462.3,19.2894,12.5267
31,147.18,22,405.36,-75.0265,-17.3212
0,-39,32,595.29,74.3763,19.9291
22,93.51,39,728.43,-36.1089,-47.9181
16,57.11,22,405.56,41.3619,7.29322
28,129.14,29,538.42,29.3111,10.0926
5,-8.69,38,709.16,73.5946,7.7351
28,129.03,36,671.37,-68.9365,-12.1554
32,153.49,19,348.21,27.8626,13.5895
12,33.16,17,310.23,-1.99239,-0.174311
12,33.55,17,310.5,49.8469,23.244
9,15.37,7,120.04,0,0
20,80.97,19,348.46,0,0
14,45.41,14,253.31,51.4231,61.2835
37,183.49,4,63.12,-42.8564,-23.7557
15,51.2,4,63.21,-36.8232,-75.4987
5,-8.46,32,595.41,2.57519,4.28583
17,63.02,4,63.45,-53.0079,-10.3037
30,140.98,20,367.42,35.5046,56.8192
22,93.41,17,310.36,-0.838671,-0.544639
25,111.03,11,196.07,-2.48075,-8.65135
29,135.45,37,690.1,-24.7219,-41.144
17,63.46,11,196.38,26.6946,11.3312
37,183.17,39,728.47,94.5139,21.8202
3,-20.44,2,25.09,-47.7399,-51.1947
1,-32.47,8,139.09,-65.2979,-67.6179
24,105.24,19,348.3,-58.6768,-6.16717
27,123.35,12,215.55,-22.3618,-16.8508
8,8.98,14,253.36,1.67758,2.48711
37,183.15,22,404.97,48.2227,77.1723
14,45.29,21,386.51,-22.2524,-8.99055
26,117.49,6,101.42,41.7233,16.8573
29,135.01,18,329.5,67.1752,67.1751
15,51.4,31,576.06,-19.4952,-53.5625
32,153.17,33,614.12,-19.7538,-3.12869
20,81.03,8,138.98,35.507,20.5
20,81.16,17,310.03,35.9961,42.8985
26,117.14,39,728.21,-48.3967,-7.66528
6,-2.45,38,709.34,-47.2807,-36.9397
4,-14.91,33,614.27,84.8596,50.9887
6,-2.44,32,595.12,-44.0001,-76.2102
20,81.01,36,671.26,-44.9166,-35.0927
24,105.26,10,177.21,3.47329,3.5967
10,21.08,32,595.45,-25.5563,-19.2581
33,159.02,24,443.44,26.4148,22.9621
5,-8.62,27,500.26,54.0919,14.4939
27,123.45,16,291.2,29.3893,40.4508
16,57.31,0,-12.64,32.1394,38.3022
32,152.98,16,291.21,12.9289,16.5482
16,57.04,14,253.1,-12.7896,-5.69431
9,15.48,2,25.33,-25.1662,-12.2744
28,129.56,31,576.22,-23.184,-52.0721
16,57.08,28,519.34,-29.5833,-63.4415
34,165.2,3,44.48,-9.66089,-8.69869
0,-38.47,24,443.31,-82.474,-38.4582
35,171.35,1,6.46,-24.3763,-39.0102
20,81.4,5,82.01,18.4101,7.81462
25,111.13,19,348.42,-26.179,-61.6738
16,57.25,25,462.16,59.7014,68.6785
16,57.4,32,595.49,-70.6111,-7.42151
22,93.53,19,348.52,-26.6646,-48.1041
9,15.15,21,386.11,37.7494,18.4116
14,45.56,29,538.02,-11.4907,-9.64181
27,123.1,3,44.01,40.7241,73.468
21,87.5,1,6.3,-74.7146,-6.53668
15,51.45,6,101.43,2.64884,1.40841
4,-14.59,13,234.22,-25.9808,-15
38,189.21,27,500.45,27.5545,31.6978
3,-20.54,37,690.15,-42.5526,-33.2457
16,57.04,6,101.54,15.9727,12.0363
39,195.24,32,595.14,45.7946,28.6156
0,-38.45,32,595.11,-30.103,-78.4207
1,-32.89,11,196.45,-44.1627,-49.0475
4,-14.94,34,633.38,-23.3345,-23.3345
7,3.32,27,500.1,-50.4748,-72.0853
37,183,27,500.38,13.3826,14.8629
29,135.5,4,62.98,-12.557,-3.36465
27,122.97,26,481.35,-21.5344,-22.2995
31,147.5,2,25.03,-28.5234,-67.1968
18,69.43,17,310.43,18.8584,2.31552
